acl 2.2.52-4
acpi 1.7-2
acpi_call-dkms 1.1.0-7
acpid 2.0.28-1
adobe-source-code-pro-fonts 2.030ro+1.050it-3
adwaita-icon-theme 3.26.0-1
alsa-lib 1.1.4.1-2
alsa-plugins 1.1.4-1
alsa-utils 1.1.4-1
apr 1.6.2-1
apr-util 1.6.0-1
arc-gtk-theme 20170302-4
arc-kde 20170925-1
archlinux-keyring 20170823-1
asciidoc 8.6.9-3
asp 2-1
aspell 0.60.6.1-5
aspell-en 2016.06.26-1
at-spi2-atk 2.26.0-2
at-spi2-core 2.26.0-2
atk 2.26.0-1
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-1
bash 4.4.012-2
bc 1.07.1-1
bind-tools 9.11.2-2
binutils 2.29.0-1
bison 3.0.4-3
blas 3.7.1-2
blueberry 1.1.15-1
bluez 5.47-2
bluez-libs 5.47-2
bluez-tools 0.2.0-1
bluez-utils 5.47-2
boost-libs 1.65.1-1
brightnessctl 0.3-2
btrfs-progs 4.13-1
bzip2 1.0.6-6
bzr 2.7.0-2
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.33-2
ca-certificates-utils 20170307-1
cairo 1.15.8-2
cairo-perl 1.106-5
calibre 3.9.0-1
cantarell-fonts 1:0.0.25-3
canto-curses 0.9.9-1
canto-daemon 0.9.7-1
cblas 3.7.1-2
ccid 1.4.28-1
cdparanoia 10.2-5
celt 0.11.3-2
chmlib 0.40-4
chromaprint 1.4.2-1
chromium 61.0.3163.100-1
chromium-widevine 1:1.4.8.1008-1
clamav 0.99.2-7
clucene 2.3.3.4-9
clutter 1.26.2-1
clutter-gtk 1.8.4-1
cmake 3.9.4-1
cmatrix 1.2a-12
cmus 2.7.1-8
cogl 1.22.2+10+g3baa2d7a-1
colord 1.4.1-1
colortest-256-ng-git 20100822-1
command-not-found 0.6.1-2
compositeproto 0.4.2-3
confuse 3.2.1-1
coreutils 8.28-1
cower 17-2
cracklib 2.9.6-1
cronie 1.5.1-1
cryptsetup 1.7.5-1
cups 2.2.4-2
cups-filters 1.17.9-2
cups-pdf 3.0.1-1
curl 7.56.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.24-1
dbus-glib 0.108-1
dconf 0.26.1-1
desktop-file-utils 0.23-1
device-mapper 2.02.175-1
dhclient 4.3.6-2
dhcpcd 6.11.5-1
diffutils 3.6-1
discord 0.0.2-1
dkms 2.4.0-2
dmenu 4.7-1
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-3
dosfstools 4.1-1
double-conversion 3.0.0-1
dri2proto 2.8-2
dri3proto 1.0-1
dunst 1.2.0-1
e2fsprogs 1.43.6-1
elinks 0.13-19
encfs 1.9.2-1
enchant 1.6.1-2
epson-inkjet-printer-escpr 1.6.16-1
ethtool 1:4.11-1
exo 0.11.5-1
expac 8-1
expat 2.2.4-1
extra-cmake-modules 5.38.0-1
faac 1.29.7.7-1
faad2 2.8.5-1
fakeroot 1.22-1
feh 2.21-1
ffmpeg 1:3.3.4-1
fftw 3.3.6-2
file 5.32-1
file-roller 3.26.1-1
filesystem 2017.03-2
findutils 4.6.0-2
firefox-developer 57.0b8-1
firejail 0.9.50-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.12.6-1
fonts-meta-base 1-2
fonts-meta-extended-lt 3-1
fontsproto 2.1.3-2
freetype2 2.8.1-1
fribidi 0.19.7-1
fuse-common 3.2.0-1
fuse2 2.9.7-4
gawk 4.1.4-2
gc 7.6.0-1
gcc-libs-multilib 7.2.0-1
gcc-multilib 7.2.0-1
gconf 3.2.6-5
gcr 3.20.0+45+g4708f35-1
gd 2.2.5-1
gdbm 1.13-1
gdk-pixbuf2 2.36.11-1
geoclue2 2.4.7-1
geoip 1.6.11-1
geoip-database 20171007-1
geteltorito 0.6-1
gettext 0.19.8.1-2
ghostscript 9.22-1
giflib 5.1.4-1
girara 0.2.7-1
git 2.14.2-1
gkeyring 0.4-1
glew 2.1.0-1
glib-networking 2.54.0-1
glib-perl 1.324-4
glib2 2.54.1-2
glib2-docs 2.54.1-2
glibc 2.26-5
glproto 1.4.17-1
glu 9.0.0-4
gmime 2.6.23+4+g91dcee38-1
gmp 6.1.2-1
gnome-bluetooth 3.26.0+1+g3875844-1
gnome-calculator 3.25.92+11+g1e9e84b0-1
gnome-disk-utility 3.26.1-1
